type,level,perk,description
main,2,"Winged Fury","Damage from Melee Attacks executed while sprinting or dashing increases by 100%. Deals area-of-effect Damage within a 7-metre radius. Cooldown is 5 seconds."
main,3,"Auxiliary Arsenal","Secondary Weapon's Damage increases by 20%"
main,4,"Perseverance","While performing Charged Attacks, you take 25% less Health Damage do not lose control upon taking Heavy Hits and you cannot be knocked back"
main,5,"Squad Cohesion","All Squad Members' Abilities recharge 10% faster"
main,6,"Smiting Angel","Ground Pound's Damage increases by 25%"
main,7,"Wings of Flame","Jump Pack Dash deals damage that scales with difficulty to enemies along its trajectory and always works as a Perfect Dodge when dodging an attack"
main,8,"Pride in Duty","After a Finisher, Ground Pound deals 25% more Damage for 10 seconds"
main,9,"Ample Ammunition","Any use of Jump Pack reloads the equipped Ranged weapon and increases Ranged Damage for by 50% for 10 seconds"
main,10,"Overcharge","Damage of Charged Attacks increases by 25%"
main,11,"Defense Mechanism","Contested Health fades 50% more slowly"
main,12,"Knowledge of the Enemy","Melee Damage increases by 15% against Majoris- or Extremis-level enemies"
main,13,"Strategic Strikes","All Squad Members deal 20% more Melee Damage against Extremis- and Terminus-level enemies"
main,14,"Hammer of Wrath","After use Jump Pack, you take 30% less Ranged Damage, do not lose control upon taking Heavy Hits and you cannot be knocked back for 15 seconds"
main,15,"Manoeuvrability","Jump Pack recharges 20% faster"
main,16,"Diligence","A fully prepared Ground Pound deals 20% more Damage, but preparation time increases by 25%"
main,17,"Ascension","Jump Pack Leap deals Damage to enemies near the takeoff area. Enemies within 1-metre take Damage based on Difficulty Level. After 1-metre the Damage starts to drop-off and does 0 Damage at 5-metres. Can hit up to 20 enemies."
main,18,"Armour Reinforcement","Non-Finisher Gun Strikes also restore 1 Armour Segment"
main,19,"Consecutive Execution","Killing 7 enemies within 6 seconds restores Equipment Charge by 1. Cooldown is 90 seconds."
main,20,"Act of Attrition","Enemies hit by Melee Attacks take 15% more Damage for 3 seconds"
main,21,"Proven Efficiency","All Squad Members deal 30% more Gun Strike Damage"
main,22,"Precision Strike","Ground Pound deals 100% more Damage, but its radius is reduced by 50%"
main,23,"Zealous Blow","A Ground Pound kill restores Jump Pack's Charge by 10%"
main,24,"Aerial Grace","After a perfectly timed Dodge using a Jump Pack Dash, you deal 30% more Damage for 10 seconds"
main,25,"Commitment","A perfectly timed Dodge using a Jump Pack Dash restores Jump pack's Ability Charge"
