== Bulwark ==
L02 | Conviction | When your Armour is fully depleted, you take 25% less Health Damage for 10 seconds
L03 | Armour of Contempt | When you Block a Ranged Attack, enemies within a 10-metre radius take the Damage instead
L04 | Defensive Advantage | A perfectly timed Parry or Block creates a Shock area for 5 seconds. Cooldown is 30 seconds.
L05 | Focused Restoration | Every 30 seconds, all Squad Members automatically restore 1 Armour Segment
L06 | Purity of Purpose | The banner deals Damage that scales with difficulty over time to enemies within its area of effect
L07 | Concussive Force | Shield Bash deals 200% more Damage. Thunder Hammer Pommel Smash deals 100% more damage and deals area-of-effect Damage within a 7 meter radius. Cooldown is 5 seconds.
L08 | Rejuvenating Effect | When the banner is activated, it revives Incapacitated Squad Members within its area of effect
L09 | Emergency Countermeasure | When your Armour is depleted, a reserve Shock Grenade automatically detonated at your position. Cooldown is 90 seconds.
L10 | Intimidating Aura | A perfectly timed Parry deals area-of-effect Damage that scales with difficulty within a 5-metre radius.
L11 | Shock and Awe | Enemies in a Shock area take 25% more Damage
L12 | Steel Within | When your Health is less than 50%, you take 30% less Health Damage
L13 | Advanced Conditioning | Contested Health fades 50% more slowly for all Squad Members
L14 | Rapid Regeneration | The banner restores Armour 300% faster, but its Duration is reduced to 10 seconds
L15 | Glory's Shield | All Squad Members within the banner's area of effect take 20% less Damage, and the banner lasts 20% longer
L16 | Merciless Resolve | After a Shield Bash or Thunder Hammer Pommel Smash, Melee Damage increases by 15%, you do not lose control upon taking Heavy Hits and you cannot be knocked back for 10 seconds
L17 | Defensive Mastery | A perfectly timed Parry instantly Incapacitates a Majoris- or Extremis-level enemy. Cooldown is 90 seconds.
L18 | Forward Momentum | After a Shield Bash or Thunder Hammer Pommel Smash, Melee Damage increases by 30% for 10 seconds
L19 | Scrambled Targeting | If you are surrounded by 5 or more enemies, you take 25% less Damage from Ranged Attacks
L20 | Armour Reinforcement | Non-Finisher Gun Strikes restore 1 Armour Segment
L21 | Effective Formation | All Squad members take 20% less Health Damage from Extremis- and Terminus-level enemies
L22 | Focused Strength | Shield Bash knocks enemies back and makes them lose control for a longer period of time
L23 | Invigorating Icon | When the banner is activated, all Squad Members regain maximum Contested Health, but it recharges 50% slower
L24 | Inspiration | All Squad Members within the banner's area of effect deal 20% more Damage
L25 | Armoured Advance | If you have Armour remaining, you do not lose control upon taking Heavy Hits and you cannot be knocked back
