== Heavy ==
L02 | Restoration | Killing 10 enemies within 5 seconds restores 1 Armour Segments. Cooldown is 15 seconds.
L03 | Thermal Boost | When a Ranged Weapon is 50% Overheated or you have 50% ammo in Magazine, Ranged Damage increases by 15%
L04 | Enhanced Force | Melee Damage increases by 30%
L05 | Encompassing Aegis | All Squad Members take 25% less Damage from Ranged Attacks
L06 | Adamant Will | After Iron Halo deactivates, you take 20% less Health Damage for 10 seconds
L07 | Obdurate Bastion | Iron Halo's Durability increases by 20%
L08 | Saving Grace | Reviving a Squad Member fully restores Iron Halo's Charge and all Armour Segments
L09 | Offensive Capability | When active, Iron Halo deals Damage that scales with difficulty over time to all enemies within 5 metres
L10 | Multi-Kill | Killing 5 or more enemies with one shot from a Multi-Melta restores Ammo by 1
L11 | Fortitude | Health increases by 30%
L12 | Overwhelming Power | When Iron Halo is active, all Squad Members within 10 metres deal 10% more Ranged Damage
L13 | Additional Supplies | Ammo Capacity for all Squad Members' Weapons increases by 25%
L14 | Consecutive Execution | Killing 7 enemies within 5 seconds restores Equipment Charge. Cooldown is 90 seconds.
L15 | Field Adjustment | Iron Halo recharges 20% faster, but its Durability is reduced by 25%
L16 | Brute Force | When Iron Halo is in cooldown, Ranged Damage increases by 15%
L17 | Coolant Reserve | If both of your Squad Members are Incapacitated or grabbed, your Primary Weapon will not Overheat and you deal 15% more Damage
L18 | Auxiliary Ammunition | When your Primary Weapon is out of Ammo, killing 7 enemies within 6 seconds restores Ammo Reserve by 20%. Cooldown is 30 seconds.
L19 | Strategic Stand | While in Heavy Stance, dealing Damage restores 15% more Contested Health, you do not lose control upon taking Heavy Hits, and you cannot be knocked back but you will not be able to move
L20 | Versatility | After switching Weapons, your Secondary Weapon does 20% more Damage. The Effect lasts until reloading or switching back to your Primary Weapon.
L21 | Bonds of Brotherhood | Reviving a Squad Member restores them to full Health
L22 | Emperor's Protection | When Iron Halo expends all its energy, 1 Armour Segment is restored for all Squad Members
L23 | Power Regulator | Iron Halo loses energy 20% more slowly
L24 | Wrath of the Imperium | When Iron Halo expends all of its energy, enemies in a 10-metre radius take significant Damage that scales with difficulty
L25 | Conversion Field | When Iron Halo is active, all Squad Members within 20 metres regenerate Ability Charge 50% faster
