Unlock Level,Perk Name,Description
Starting,Starting Perk,"Any unequipped Ranged Weapon reloads automatically after 10 seconds."
2,Balanced Distribution,"Your Primary Weapon deals 10% more Damage, but your Secondary Weapon deals 10% less Damage."
3,Heightened Vigour,"After a perfectly timed Parry or Dodge, you deal 10% more Melee and Gun Strike Damage, do not lose control upon taking Heavy Hits and you cannot be knocked back for 10 seconds."
4,Emperor's Judgement,"After a Finisher, the equipped Ranged Weapon reloads automatically, and your Primary Weapon deals 20% more Damage for 10 seconds."
5,Secure Stockpile,"Equipment Charge is restored by 1 for all Squad Members. Cooldown is 60 seconds."
6,Vital Data,"Scanning an Extremis- or Terminus-level enemy restores Auspex Scan's Charge by 50%."
7,Battle Focus,"A perfectly timed Parry or Block gives the parried enemy a mark from Auspex Scan."
8,Close Targeting,"When Auspex Scan is in cooldown, Melee Damage increases by 25%."
9,Signal Jammer,"Enemies marked by Auspex Scan cannot call for reinforcements and automatically explode upon attempting to do so."
10,Plasma Boost,"When the Plasma Incinerator is 30% Overheated, its Damage increases by 40% and their Charged Shots use 1 less energy."
11,Relentless Pursuit,"After a Gun Strike, Ranged Damage increases by 25% for 5 seconds."
12,Steady Aim,"Weapon Spread and Recoil is reduced by 20% and Ranged Damage against Terminus-level enemies is increased by 20%."
13,Aligned Aim,"Ranged Damage increases by 15% for all Squad Members."
14,Priority Targeting,"The Mark from Auspex Scan lasts 8 seconds longer (base: 8), but Auspex Scan ignores Minoris-level enemies."
15,Improved Efficiency,"Scanning any 10 enemies or 3 Majoris-level or higher enemies with one Auspex Scan restores Equipment Charge by 1."
16,Expert Timing,"Enemies marked by Auspex Scan take an additional 75% Damage, but the mark's Duration is reduced by 4 seconds (base: 8)."
17,Radiating Impact,"A Melee Finisher additionally deals area-of-effect Damage that scales with difficulty in a 10-metre radius. Cooldown is 90 seconds."
18,Kraken Penetrator Rounds,"Bolt Weapons penetrate 1 more enemy."
19,Versatility,"After switching Weapons, your Secondary Weapon does 25% more Damage. The Effect lasts until reloading or switching back to your Primary Weapon."
20,Emperor's Vengeance,"Killing a Majoris-level or higher enemy restores your Primary Weapon's Ammo by 1 magazine. For Primary Weapons that don't reload, 20% of maximum Ammo capacity is restored instead. Cannot exceed maximum Ammo capacity. Cooldown is 30 seconds."
21,Transhuman Physiology,"All Squad Members restore 30% more Contested Health from Ranged Damage."
22,Target Lock,"Enemies marked by Auspex Scan take 75% more Equipment Damage."
23,Precise Calibration,"Enemies marked by Auspex Scan take an additional 75% Damage, but Auspex Scan's radius is reduced by 25%."
24,Concentrated Fire,"Auspex Scan zone lasts 60% longer, and enemies marked by Auspex Scan take an additional 120% Damage, but they lose the mark when they leave the scanned area."
25,Marked for Death,"A Headshot will instantly kill a Majoris- or Extremis-level enemy marked by Auspex Scan. Cooldown is 120 seconds."
